Year,Month,Value
2010,JAN,-0.1
2010,FEB,-3.7
2010,MAR,-2.6
2010,APR,-0.6
2010,MAY,-0.8
2010,JUN,0.3
2010,JUL,0.1
2010,AUG,-0.5
2010,SEP,2.1
2010,OCT,-0.5
2010,NOV,-0.4
2010,DEC,0.6
2011,JAN,-0.7
2011,FEB,0.2
2011,MAR,0.7
2011,APR,-2.5
2011,MAY,-3.4
2011,JUN,-2.6
2011,JUL,-2.8
2011,AUG,-3.2
2011,SEP,-3.6
2011,OCT,-3.3
2011,NOV,-2.8
2011,DEC,-3.6
2012,JAN,-3.0
2012,FEB,-1.3
2012,MAR,-3.5
2012,APR,-1.5
2012,MAY,1.6
2012,JUN,-0.7
2012,JUL,-2.4
2012,AUG,2.1
2012,SEP,-2.8
2012,OCT,-0.5
2012,NOV,-0.8
2012,DEC,-3.4
2013,JAN,2.6
2013,FEB,-1.0
2013,MAR,2.4
2013,APR,2.8
2013,MAY,1.3
2013,JUN,1.2
2013,JUL,4.0
2013,AUG,-0.4
2013,SEP,4.6
2013,OCT,3.1
2013,NOV,5.9
2013,DEC,5.9
2014,JAN,0.6
2014,FEB,4.0
2014,MAR,0.9
2014,APR,1.3
2014,MAY,-0.1
2014,JUN,-0.4
2014,JUL,0.9
2014,AUG,2.0
2014,SEP,-1.3
2014,OCT,2.0
2014,NOV,0.3
2014,DEC,2.6
2015,JAN,5.0
2015,FEB,5.6
2015,MAR,6.0
2015,APR,4.9
2015,MAY,6.3
2015,JUN,6.8
2015,JUL,5.8
2015,AUG,5.7
2015,SEP,8.6
2015,OCT,5.0
2015,NOV,3.6
2015,DEC,3.9
2016,JAN,2.4
2016,FEB,1.4
2016,MAR,3.8
2016,APR,2.3
2016,MAY,2.3
2016,JUN,2.1
2016,JUL,1.7
2016,AUG,0.7
2016,SEP,1.3
2016,OCT,-1.6
2016,NOV,0.8
2016,DEC,1.9
2017,JAN,-2.8
2017,FEB,0.0
2017,MAR,-0.8
2017,APR,0.1
2017,MAY,0.5
2017,JUN,1.2
2017,JUL,0.3
2017,AUG,0.5
2017,SEP,-0.6
2017,OCT,2.0
2017,NOV,-0.5
2017,DEC,0.8
2018,JAN,3.8
2018,FEB,-3.1
2018,MAR,1.2
2018,APR,-0.7
2018,MAY,-1.0
2018,JUN,0.0
2018,JUL,-0.3
2018,AUG,-0.1
2018,SEP,-1.5
2018,OCT,-1.2
2018,NOV,0.6
2018,DEC,-1.0
2019,JAN,0.1
2019,FEB,4.7
2019,MAR,-1.3
2019,APR,1.3
2019,MAY,-0.9
2019,JUN,-1.1
2019,JUL,-2.1
2019,AUG,-0.1
2019,SEP,-0.4
2019,OCT,-0.3
2019,NOV,-0.8
2019,DEC,-3.9
2020,JAN,-3.4
2020,FEB,-5.6
2020,MAR,-16.7
2020,APR,-36.1
2020,MAY,-22.3
2020,JUN,-15.0
2020,JUL,-11.0
2020,AUG,-12.7
2020,SEP,-6.8
2020,OCT,-9.9
2020,NOV,-12.8
2020,DEC,-11.5
2021,JAN,-8.7
2021,FEB,-8.4
2021,MAR,9.9
2021,APR,46.2
2021,MAY,23.9
2021,JUN,17.3
2021,JUL,14.7
2021,AUG,11.6
2021,SEP,8.1
2021,OCT,12.2
2021,NOV,16.5
2021,DEC,16.5
2022,JAN,8.5
2022,FEB,13.2
2022,MAR,7.9
2022,APR,3.2
2022,MAY,2.5
2022,JUN,-3.7
2022,JUL,-5.2
2022,AUG,-1.4
2022,SEP,-1.8
2022,OCT,-3.1
2022,NOV,-3.7
2022,DEC,-3.3
2023,JAN,0.5
2023,FEB,-0.9
2023,MAR,-0.5
2023,APR,2.3
2023,MAY,-0.3
2023,JUN,2.6
2023,JUL,2.4
2023,AUG,1.7
2023,SEP,-0.2
2023,OCT,2.3
2023,NOV,0.8
2023,DEC,2.4
2024,JAN,-0.1
2024,FEB,-4.8
2024,MAR,-1.5
2024,APR,-2.0
2024,MAY,1.8
2024,JUN,-1.9
2024,JUL,1.9
2024,AUG,0.0
2024,SEP,1.6
2024,OCT,-0.2
2024,NOV,-0.1
2024,DEC,0.1
